# AE file: C:\AES\Matthias\WSe2_sputtered PE/volt cal. factor =        1. Y is volts 
00260.2207 0000.2722 03180  001
00260.7120 0000.2722 03186  001
00261.2033 0000.2686 03192  001
00261.6946 0000.2637 03198  001
00262.1859 0000.2646 03204  001
00262.6772 0000.2582 03210  001
00263.1685 0000.2570 03216  001
00263.6598 0000.2502 03222  001
00264.1511 0000.2451 03228  001
00264.6424 0000.2414 03234  001
00265.1337 0000.2414 03240  001
00265.6250 0000.2362 03246  001
00266.1163 0000.2319 03252  001
00266.6076 0000.2255 03258  001
00267.0989 0000.2255 03264  001
00267.5902 0000.2203 03270  001
00268.0815 0000.2155 03276  001
00268.5728 0000.2136 03282  001
00269.0641 0000.2097 03288  001
00269.5554 0000.2060 03294  001
00270.0467 0000.2029 03300  001
00270.5380 0000.2017 03306  001
00271.0293 0000.1987 03312  001
00271.5206 0000.1959 03318  001
00272.0119 0000.1932 03324  001
00272.5032 0000.1917 03330  001
00272.9945 0000.1889 03336  001
00273.4858 0000.1920 03342  001
00273.9771 0000.1959 03348  001
00274.4684 0000.1968 03354  001
00274.9597 0000.1981 03360  001
00275.4510 0000.2011 03366  001
00275.9424 0000.1981 03372  001
00276.4337 0000.2039 03378  001
00276.9250 0000.2090 03384  001
00277.4163 0000.2106 03390  001
00277.9076 0000.2121 03396  001
00278.3989 0000.2148 03402  001
00278.8902 0000.2167 03408  001
00279.3815 0000.2216 03414  001
00279.8728 0000.2261 03420  001
00280.3641 0000.2274 03426  001
00280.8554 0000.2335 03432  001
00281.3467 0000.2368 03438  001
00281.8380 0000.2396 03444  001
00282.3293 0000.2383 03450  001
00282.8206 0000.2429 03456  001
00283.3119 0000.2475 03462  001
00283.8032 0000.2509 03468  001
00284.2945 0000.2539 03474  001
00284.7858 0000.2557 03480  001
00285.2771 0000.2557 03486  001
00285.7684 0000.2554 03492  001
00286.2597 0000.2573 03498  001
00286.7510 0000.2618 03504  001
00287.2423 0000.2615 03510  001
00287.7336 0000.2640 03516  001
00288.2249 0000.2649 03522  001
00288.7162 0000.2649 03528  001
00289.2075 0000.2634 03534  001
00289.6988 0000.2646 03540  001
00290.1901 0000.2686 03546  001
00290.6814 0000.2670 03552  001
00291.1727 0000.2689 03558  001
00291.6640 0000.2695 03564  001
00292.1553 0000.2704 03570  001
00292.6467 0000.2689 03576  001
00293.1380 0000.2679 03582  001
00293.6293 0000.2670 03588  001
00294.1206 0000.2652 03594  001
00294.6119 0000.2652 03600  001
00295.1032 0000.2707 03606  001
00295.5945 0000.2682 03612  001
00296.0858 0000.2682 03618  001
00296.5771 0000.2698 03624  001
00297.0684 0000.2673 03630  001
00297.5597 0000.2643 03636  001
00298.0510 0000.2661 03642  001
00298.5423 0000.2686 03648  001
00299.0336 0000.2673 03654  001
00299.5249 0000.2658 03660  001
00300.0162 0000.2679 03666  001
00300.5075 0000.2692 03672  001
00300.9988 0000.2692 03678  001
00301.4901 0000.2710 03684  001
00301.9814 0000.2692 03690  001
00302.4727 0000.2679 03696  001
00302.9640 0000.2679 03702  001
00303.4553 0000.2686 03708  001
00303.9466 0000.2686 03714  001
00304.4379 0000.2634 03720  001
00304.9292 0000.2594 03726  001
00305.4205 0000.2637 03732  001
00305.9118 0000.2673 03738  001
00306.4031 0000.2661 03744  001
00306.8944 0000.2643 03750  001
00307.3857 0000.2640 03756  001
00307.8770 0000.2621 03762  001
00308.3683 0000.2649 03768  001
00308.8596 0000.2655 03774  001
00309.3510 0000.2646 03780  001
00309.8423 0000.2603 03786  001
00310.3336 0000.2612 03792  001
00310.8249 0000.2628 03798  001
00311.3162 0000.2618 03804  001
00311.8075 0000.2567 03810  001
00312.2988 0000.2567 03816  001
00312.7901 0000.2594 03822  001
00313.2814 0000.2579 03828  001
00313.7727 0000.2560 03834  001
00314.2640 0000.2563 03840  001
00314.7553 0000.2585 03846  001
00315.2466 0000.2591 03852  001
00315.7379 0000.2588 03858  001
00316.2292 0000.2600 03864  001
00316.7205 0000.2618 03870  001
00317.2118 0000.2628 03876  001
00317.7031 0000.2615 03882  001
00318.1944 0000.2631 03888  001
00318.6857 0000.2655 03894  001
00319.1770 0000.2655 03900  001
00319.6683 0000.2643 03906  001
00320.1596 0000.2661 03912  001
00320.6509 0000.2664 03918  001
00321.1422 0000.2637 03924  001
00321.6335 0000.2618 03930  001
00322.1248 0000.2625 03936  001
00322.6161 0000.2621 03942  001
00323.1074 0000.2606 03948  001
00323.5987 0000.2609 03954  001
00324.0900 0000.2667 03960  001
00324.5813 0000.2670 03966  001
00325.0726 0000.2670 03972  001
00325.5639 0000.2682 03978  001
00326.0552 0000.2695 03984  001
00326.5465 0000.2725 03990  001
00327.0378 0000.2682 03996  001
00327.5291 0000.2658 04002  001
00328.0204 0000.2658 04008  001
00328.5118 0000.2664 04014  001
00329.0031 0000.2646 04020  001
00329.4944 0000.2646 04026  001
00329.9857 0000.2667 04032  001
00330.4770 0000.2664 04038  001
00330.9683 0000.2670 04044  001
00331.4596 0000.2704 04050  001
00331.9509 0000.2725 04056  001
00332.4422 0000.2710 04062  001
00332.9335 0000.2673 04068  001
00333.4248 0000.2692 04074  001
00333.9161 0000.2676 04080  001
00334.4074 0000.2646 04086  001
00334.8987 0000.2689 04092  001
00335.3900 0000.2707 04098  001
00335.8813 0000.2701 04104  001
00336.3726 0000.2728 04110  001
00336.8639 0000.2722 04116  001
00337.3552 0000.2698 04122  001
00337.8465 0000.2692 04128  001
00338.3378 0000.2679 04134  001
00338.8291 0000.2679 04140  001
00339.3204 0000.2655 04146  001
00339.8117 0000.2661 04152  001
00340.3030 0000.2658 04158  001
00340.7943 0000.2649 04164  001
00341.2856 0000.2679 04170  001
00341.7769 0000.2716 04176  001
00342.2682 0000.2728 04182  001
00342.7596 0000.2740 04188  001
00343.2509 0000.2756 04194  001
00343.7422 0000.2737 04200  001
00344.2335 0000.2716 04206  001
00344.7248 0000.2740 04212  001
00345.2161 0000.2722 04218  001
00345.7074 0000.2722 04224  001
00346.1987 0000.2747 04230  001
00346.6900 0000.2737 04236  001
00347.1813 0000.2710 04242  001
00347.6726 0000.2692 04248  001
00348.1639 0000.2695 04254  001
00348.6552 0000.2710 04260  001
00349.1465 0000.2707 04266  001
00349.6378 0000.2686 04272  001
00350.1291 0000.2692 04278  001
00350.6204 0000.2695 04284  001
00351.1117 0000.2701 04290  001
00351.6030 0000.2695 04296  001
00352.0943 0000.2722 04302  001
00352.5856 0000.2734 04308  001
00353.0769 0000.2737 04314  001
00353.5682 0000.2753 04320  001
00354.0595 0000.2756 04326  001
00354.5508 0000.2728 04332  001
00355.0421 0000.2765 04338  001
00355.5334 0000.2753 04344  001
00356.0247 0000.2728 04350  001
00356.5160 0000.2734 04356  001
00357.0073 0000.2740 04362  001
00357.4986 0000.2719 04368  001
00357.9899 0000.2734 04374  001
00358.4812 0000.2740 04380  001
00358.9725 0000.2731 04386  001
00359.4638 0000.2716 04392  001
00359.9551 0000.2722 04398  001
00360.4464 0000.2707 04404  001
00360.9377 0000.2704 04410  001
00361.4290 0000.2725 04416  001
00361.9203 0000.2682 04422  001
00362.4117 0000.2676 04428  001
00362.9030 0000.2692 04434  001
00363.3943 0000.2713 04440  001
00363.8856 0000.2744 04446  001
00364.3769 0000.2740 04452  001
00364.8682 0000.2747 04458  001
00365.3595 0000.2750 04464  001
00365.8508 0000.2762 04470  001
00366.3421 0000.2722 04476  001
00366.8334 0000.2725 04482  001
00367.3247 0000.2740 04488  001
00367.8160 0000.2740 04494  001
00368.3073 0000.2737 04500  001
00368.7986 0000.2731 04506  001
00369.2899 0000.2756 04512  001
00369.7812 0000.2756 04518  001
00370.2725 0000.2771 04524  001
00370.7638 0000.2774 04530  001
00371.2551 0000.2786 04536  001
00371.7464 0000.2768 04542  001
00372.2377 0000.2747 04548  001
00372.7290 0000.2744 04554  001
00373.2203 0000.2728 04560  001
00373.7116 0000.2756 04566  001
00374.2029 0000.2722 04572  001
00374.6942 0000.2689 04578  001
00375.1855 0000.2731 04584  001
00375.6768 0000.2728 04590  001
00376.1682 0000.2716 04596  001
00376.6595 0000.2710 04602  001
00377.1508 0000.2740 04608  001
00377.6421 0000.2765 04614  001
00378.1334 0000.2759 04620  001
00378.6247 0000.2753 04626  001
00379.1160 0000.2765 04632  001
00379.6073 0000.2750 04638  001
00380.0986 0000.2750 04644  001
00380.5899 0000.2792 04650  001
00381.0812 0000.2786 04656  001
00381.5725 0000.2786 04662  001
00382.0638 0000.2808 04668  001
00382.5551 0000.2802 04674  001
00383.0464 0000.2814 04680  001
00383.5377 0000.2835 04686  001
00384.0290 0000.2811 04692  001
00384.5203 0000.2792 04698  001
00385.0116 0000.2805 04704  001
00385.5029 0000.2789 04710  001
00385.9942 0000.2814 04716  001
00386.4855 0000.2829 04722  001
00386.9768 0000.2838 04728  001
00387.4681 0000.2856 04734  001
00387.9594 0000.2844 04740  001
00388.4507 0000.2826 04746  001
00388.9420 0000.2841 04752  001
00389.4333 0000.2829 04758  001
00389.9246 0000.2808 04764  001
00390.4159 0000.2789 04770  001
00390.9072 0000.2811 04776  001
00391.3985 0000.2795 04782  001
00391.8898 0000.2783 04788  001
00392.3811 0000.2774 04794  001
00392.8724 0000.2798 04800  001
00393.3637 0000.2808 04806  001
00393.8550 0000.2792 04812  001
00394.3463 0000.2765 04818  001
00394.8376 0000.2783 04824  001
00395.3289 0000.2802 04830  001
00395.8203 0000.2795 04836  001
00396.3116 0000.2802 04842  001
00396.8029 0000.2780 04848  001
00397.2942 0000.2740 04854  001
00397.7855 0000.2750 04860  001
00398.2768 0000.2744 04866  001
00398.7681 0000.2747 04872  001
00399.2594 0000.2762 04878  001
00399.7507 0000.2744 04884  001
00400.2420 0000.2756 04890  001
00400.7333 0000.2759 04896  001
00401.2246 0000.2783 04902  001
00401.7159 0000.2786 04908  001
00402.2072 0000.2780 04914  001
00402.6985 0000.2789 04920  001
00403.1898 0000.2786 04926  001
00403.6811 0000.2771 04932  001
00404.1724 0000.2744 04938  001
00404.6637 0000.2750 04944  001
00405.1550 0000.2747 04950  001
00405.6463 0000.2750 04956  001
00406.1376 0000.2759 04962  001
00406.6289 0000.2750 04968  001
00407.1202 0000.2734 04974  001
00407.6115 0000.2771 04980  001
00408.1028 0000.2811 04986  001
00408.5941 0000.2802 04992  001
00409.0854 0000.2817 04998  001
00409.5768 0000.2811 05004  001
00410.0681 0000.2792 05010  001
00410.5594 0000.2820 05016  001
00411.0507 0000.2817 05022  001
00411.5420 0000.2829 05028  001
00412.0333 0000.2817 05034  001
00412.5246 0000.2798 05040  001
00413.0159 0000.2795 05046  001
00413.5072 0000.2780 05052  001
00413.9985 0000.2737 05058  001
00414.4898 0000.2756 05064  001
00414.9811 0000.2780 05070  001
00415.4724 0000.2750 05076  001
00415.9637 0000.2786 05082  001
00416.4550 0000.2792 05088  001
