Comment : 
Probe   : 
FileName: B54CIS01.DAT
Fileform:      7
Date    : 14.05.99  11:57:22
Program : EMP
Version :       3.1
MeasTime:      0.0000
ScanTime:    948.6785
MeasTyp : CFS
Analys. :      1
Scans   :      1
Points  :    801
MonSta  :    270.0000
MonEnd  :    350.0000
AnaSta  :    200.0000
AnaEnd  :    600.0000
AnaRange:   1000.0000
AnaMin  :    100.0000
DACsta  :      0.0000
DACend  :     10.0000
DeltaE  :      0.0248
MonSpeed:    500.0000
ScanCtrl: ENERGY
DelayVal:      0.0000
SecMeas : FALSE
ChanType: MEASURE , MEASURE
Devices :        DMM1 , TIME: 5.00000E-02 , MODE:1 , RANGE:3 , AVERAGE:20 , TRIGGER:1
 2.87000E+02  9.73400E-01  0.00000E+00 
 2.87100E+02  9.18250E-01  0.00000E+00 
 2.87200E+02  8.79312E-01  0.00000E+00 
 2.87299E+02  8.44137E-01  0.00000E+00 
 2.87399E+02  7.82125E-01  0.00000E+00 
 2.87500E+02  7.55062E-01  0.00000E+00 
 2.87600E+02  7.24987E-01  0.00000E+00 
 2.87700E+02  6.91700E-01  0.00000E+00 
 2.87799E+02  6.85525E-01  0.00000E+00 
 2.87899E+02  6.87212E-01  0.00000E+00 
 2.88000E+02  6.65662E-01  0.00000E+00 
 2.88100E+02  6.62325E-01  0.00000E+00 
 2.88200E+02  6.65462E-01  0.00000E+00 
 2.88299E+02  6.68000E-01  0.00000E+00 
 2.88399E+02  6.75125E-01  0.00000E+00 
 2.88500E+02  6.80712E-01  0.00000E+00 
 2.88600E+02  6.89212E-01  0.00000E+00 
 2.88700E+02  6.99712E-01  0.00000E+00 
 2.88799E+02  7.08775E-01  0.00000E+00 
 2.88899E+02  7.19575E-01  0.00000E+00 
 2.89000E+02  7.34175E-01  0.00000E+00 
 2.89100E+02  7.45550E-01  0.00000E+00 
 2.89200E+02  7.57125E-01  0.00000E+00 
 2.89299E+02  7.75462E-01  0.00000E+00 
 2.89399E+02  7.84012E-01  0.00000E+00 
 2.89500E+02  7.96675E-01  0.00000E+00 
 2.89600E+02  8.09962E-01  0.00000E+00 
 2.89700E+02  8.17262E-01  0.00000E+00 
 2.89799E+02  8.25137E-01  0.00000E+00 
 2.89899E+02  8.32412E-01  0.00000E+00 
 2.90000E+02  8.30675E-01  0.00000E+00 
 2.90100E+02  8.28225E-01  0.00000E+00 
 2.90200E+02  8.21950E-01  0.00000E+00 
 2.90299E+02  8.13262E-01  0.00000E+00 
 2.90399E+02  8.03200E-01  0.00000E+00 
 2.90500E+02  7.88962E-01  0.00000E+00 
 2.90600E+02  7.71487E-01  0.00000E+00 
 2.90700E+02  7.57775E-01  0.00000E+00 
 2.90799E+02  7.38712E-01  0.00000E+00 
 2.90899E+02  7.19862E-01  0.00000E+00 
 2.91000E+02  7.02487E-01  0.00000E+00 
 2.91100E+02  6.84300E-01  0.00000E+00 
 2.91200E+02  6.65325E-01  0.00000E+00 
 2.91299E+02  6.50137E-01  0.00000E+00 
 2.91399E+02  6.28362E-01  0.00000E+00 
 2.91500E+02  6.12062E-01  0.00000E+00 
 2.91600E+02  5.97625E-01  0.00000E+00 
 2.91700E+02  5.80462E-01  0.00000E+00 
 2.91799E+02  5.66387E-01  0.00000E+00 
 2.91899E+02  5.57187E-01  0.00000E+00 
 2.92000E+02  5.43450E-01  0.00000E+00 
 2.92100E+02  5.37200E-01  0.00000E+00 
 2.92200E+02  5.30312E-01  0.00000E+00 
 2.92299E+02  5.24937E-01  0.00000E+00 
 2.92399E+02  5.24287E-01  0.00000E+00 
 2.92500E+02  5.24675E-01  0.00000E+00 
 2.92600E+02  5.26787E-01  0.00000E+00 
 2.92700E+02  5.32837E-01  0.00000E+00 
 2.92799E+02  5.37712E-01  0.00000E+00 
 2.92899E+02  5.43050E-01  0.00000E+00 
 2.93000E+02  5.55425E-01  0.00000E+00 
 2.93100E+02  5.64312E-01  0.00000E+00 
 2.93200E+02  5.75375E-01  0.00000E+00 
 2.93299E+02  5.90037E-01  0.00000E+00 
